max_depth,n_estimators,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
4.0,100,0.9888362238179919,0.0031950161459215424,0.9975457415519845,0.0019680190967311523,0.002995653451580503
4.0,300,0.9888362238179919,0.0031950161459215424,0.9975821056007622,0.0020905538516268847,0.002995653451580503
4.0,500,0.987601160227724,0.0028301450464430725,0.9975974288707765,0.002003950355922429,0.002929863112233933
8.0,100,0.9893495325881414,0.0020279960447155323,0.9985419055860119,0.00040721630840036944,0.0029254770896108284
8.0,300,0.9893801359198222,0.0020005110020675084,0.9987232070981104,0.0003210557439814304,0.0028947749312490958
8.0,500,0.9893694616829194,0.0019917419333293695,0.9988027608787412,0.0003519765218823867,0.0028947749312490958
12.0,100,0.9893495325881414,0.0020279960447155323,0.9986570419638655,0.0003311393763737017,0.0029254770896108284
12.0,300,0.9893801359198222,0.0020005110020675084,0.9987229312423574,0.00032046531373367557,0.0028947749312490958
12.0,500,0.9893907917731358,0.002011520298039554,0.9987960243526922,0.0003591532792765614,0.0028947749312490958
20.0,100,0.9893495325881414,0.0020279960447155323,0.9986570419638655,0.0003311393763737017,0.0029254770896108284
20.0,300,0.9893801359198222,0.0020005110020675084,0.9987229312423574,0.00032046531373367557,0.0028947749312490958
20.0,500,0.9893907917731358,0.002011520298039554,0.9987960243526922,0.0003591532792765614,0.0028947749312490958
,100,0.9893495325881414,0.0020279960447155323,0.9986570419638655,0.0003311393763737017,0.0029254770896108284
,300,0.9893801359198222,0.0020005110020675084,0.9987229312423574,0.00032046531373367557,0.0028947749312490958
,500,0.9893907917731358,0.002011520298039554,0.9987960243526922,0.0003591532792765614,0.0028947749312490958
