dropout,learning_rate,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
0.1,0.01,0.9123963213797651,0.034457456681348905,0.9985618696329741,0.0003692339258477707,0.0030438997004346544
0.1,0.001,0.846808396189085,0.17935459844476967,0.9983059709398888,0.00019598155957507786,0.002087746768597832
0.1,0.0001,0.9203835807951458,0.04784065528802045,0.998265576518382,0.00025970338429679026,0.002333364035491695
0.3,0.01,0.9626355691462395,0.020457876398400496,0.9984953406039067,0.0003319602636146752,0.0029737233384649797
0.3,0.001,0.9333294813408944,0.04786748896338215,0.9982306332525015,0.00023450841733163344,0.0028245985692794203
0.3,0.0001,0.691041378404805,0.39265782076150046,0.9984178417669662,0.0005308922740070292,0.32832010947512463
0.5,0.01,0.9246075104120145,0.03096724625079576,0.9984630492704584,0.0002087740255065724,0.002587753347631767
0.5,0.001,0.9584497451527444,0.02967321392118154,0.9985527199979387,0.0004953964047939797,0.002789510388294583
0.5,0.0001,0.8980680676030159,0.07111124201092967,0.9980657679360583,0.00019048706173175765,0.0031535502660122723
