feature,rf_wrong_cnn_right_mean,rf_right_cnn_wrong_mean
lifetime_seconds,1.0,1.9730929828239911
events_per_second,1.7272727272727273,1.1158029451282796
seq_length,1.7272727272727273,1.4111083560624844
unique_syscalls,1.3636363636363635,1.0319861145549218
uid_is_root,0.8181818181818182,0.05950905033473841
uid_changed,0.0,0.0
euid_root,0.8181818181818182,0.23233325068187455
max_uid_euid_delta,0.0,172.9955368212249
auid_euid_mismatch,0.8181818181818182,0.5343416811306719
failed_call_rate,0.0,0.002551200464385065
failed_call_count,0.0,0.017852715100421523
priv_op_count,0.0,0.048847012149764446
exec_count,0.0,0.888916439375155
file_access_count,0.0,0.04413587899826432
network_count,0.0,0.0
shell_from_service,0.0,0.42152243987106375
sensitive_path_access,0.0,0.0002479543763947434
