feature,cnn_wrong_iforest_right_mean,cnn_right_iforest_wrong_mean
lifetime_seconds,1.0100440904154122,5.767862219903052
events_per_second,1.0892589724669728,0.990347146706237
seq_length,1.0932594644506002,1.1581881533101046
unique_syscalls,1.013157894736842,1.007068193130911
uid_is_root,0.07571560480147738,0.47804878048780486
uid_changed,0.0,0.0
euid_root,0.2366112650046168,0.7624688899950224
max_uid_euid_delta,161.0551708217913,285.6866102538576
auid_euid_mismatch,0.5163896583564174,0.7887506222000995
failed_call_rate,0.033125577100646356,0.07269457688064812
failed_call_count,0.03578024007386888,0.08551518168242907
priv_op_count,0.043859649122807015,0.006968641114982578
exec_count,0.8709602954755309,0.9676455948232952
file_access_count,0.0004616805170821791,0.0750622200099552
network_count,0.0,0.0
shell_from_service,0.39242843951985223,0.00039820806371329017
sensitive_path_access,0.0004616805170821791,0.001294176207068193
