feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
priv_op_count,4208,11485,0.046815589353612165,0.015324336090552896,3.0549832029899755,2.0549832029899755
shell_from_service,4208,11485,0.40399239543726234,0.1347845015237266,2.9973208408249086,1.9973208408249086
uid_is_root,4208,11485,0.053944866920152094,0.5473225946887245,0.09856137393858523,0.9014386260614148
euid_root,4208,11485,0.21958174904942965,0.7962559860687853,0.27576778434474575,0.7242322156552543
failed_call_count,4208,11485,0.03612167300380228,0.0695690030474532,0.5192207940534033,0.48077920594659673
failed_call_rate,4208,11485,0.033388783269961975,0.062371208823102604,0.5353236517294275,0.46467634827057247
auid_euid_mismatch,4208,11485,0.5087927756653993,0.786852416195037,0.646617796671142,0.35338220332885795
max_uid_euid_delta,4208,11485,165.80109315589354,250.04127122333477,0.6630949056717976,0.33690509432820237
seq_length,4208,11485,1.0957699619771863,1.339660426643448,0.8179460557200042,0.18205394427999577
events_per_second,4208,11485,1.091651584773509,1.332724012583582,0.8191130154976825,0.18088698450231755
exec_count,4208,11485,0.8519486692015209,0.9824118415324337,0.8672011402800202,0.13279885971997984
lifetime_seconds,4208,11485,1.010340066463775,1.0028076621932884,1.0075113150352402,0.0075113150352401625
unique_syscalls,4208,11485,1.0133079847908746,1.020896821941663,0.9925664993879058,0.007433500612094246
uid_changed,4208,11485,0.0,0.0,,
file_access_count,4208,11485,0.015209125475285171,0.0,,
network_count,4208,11485,0.0,0.0,,
sensitive_path_access,4208,11485,0.0004752851711026616,0.0,,
