feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
file_access_count,74467,1532,0.9982945465776787,2.1259791122715406,-0.7112321306259222,0.7112321306259222
lifetime_seconds,74467,1532,1.0024903917190318,52.156592689201666,-0.6293500226090145,0.6293500226090145
events_per_second,74467,1532,1.0012548000643755,1.4426238535113154,-0.3993140743300264,0.3993140743300264
auid_euid_mismatch,74467,1532,0.9986571232895108,0.9484334203655352,0.31675531985214767,0.31675531985214767
failed_call_rate,74467,1532,0.00015054174965767962,0.026628997237086793,-0.23491053433546585,0.23491053433546585
euid_root,74467,1532,0.0015711657512723757,0.030026109660574413,-0.2296236812155048,0.2296236812155048
uid_is_root,74467,1532,0.0015711657512723757,0.030026109660574413,-0.2296236812155048,0.2296236812155048
seq_length,74467,1532,1.0073992506747955,3.2421671018276763,-0.17872124204805975,0.17872124204805975
unique_syscalls,74467,1532,1.0004565780815664,1.0744125326370757,-0.13580735791825618,0.13580735791825618
failed_call_count,74467,1532,0.0005908657526152524,0.07898172323759792,-0.13377296815499007,0.13377296815499007
sensitive_path_access,74467,1532,0.0001074301368391368,0.008485639686684074,-0.12831563163634113,0.12831563163634113
exec_count,74467,1532,0.002524608215719715,0.0,0.07114722771643117,0.07114722771643117
uid_changed,74467,1532,0.0,0.0,,
max_uid_euid_delta,74467,1532,0.0,0.0,,
priv_op_count,74467,1532,0.0,0.0,,
network_count,74467,1532,0.0,0.0,,
shell_from_service,74467,1532,0.0,0.0,,
