precision,recall,f1,fpr,auroc,repeat,model,n_total
0.151430652614327,0.8478302427834066,0.2569648978803534,0.9810260661324491,0.9976455782766538,0,cnn,91692
0.14201122081034065,0.7855094628178169,0.2405362160474555,0.9799602626350347,0.7886086506350085,1,cnn,91692
0.9754373564233964,0.703498375071688,0.817444744733627,0.0036579428676693114,0.9860881017857283,2,cnn,91692
0.9862359231031737,0.5524756260753202,0.7082176115013886,0.0015921262121870025,0.9971473161289076,3,cnn,91692
0.984995487364621,0.5563627094883069,0.7110803436901901,0.0017500230266187713,0.9874839897492437,4,cnn,91692
0.13576447360780441,0.7449181163576116,0.2296705239788601,0.9791576204950065,0.8858209390106854,5,cnn,91692
0.9761219486195502,0.5835085707003123,0.7303980218553083,0.0029474072027263517,0.9842022000968638,6,cnn,91692
0.9854437717377302,0.9749569871917415,0.9801723309523047,0.0029737233384649797,0.9890181351068316,7,cnn,91692
0.980071442000376,0.6643726502262155,0.7919182712392238,0.002789510388294583,0.7603639335432903,8,cnn,91692
0.983056619838229,0.735742050595807,0.8416065310882718,0.0026184555059934997,0.779182159834618,9,cnn,91692
0.9921259842519685,0.4335691072452686,0.6034322203006518,0.0007105356649429597,0.9209765604385821,10,cnn,91692
0.9692276546209131,0.6101446504811062,0.748865947129673,0.004000052632271477,0.5352302894593739,11,cnn,91692
0.982688524590164,0.9549480660166954,0.9686197201305626,0.0034737299174989146,0.9858497154611213,12,cnn,91692
0.9749818709209572,0.3427005671318422,0.5071431939271064,0.0018158133659653417,0.9814677833009047,13,cnn,91692
0.1131482825494652,0.6060026763525138,0.1906919853221311,0.9807892209108015,0.869918631281363,14,cnn,91692
