precision,recall,f1,fpr,auroc,repeat,model,n_total
0.9433128059371546,0.38067928375708915,0.5424498320167075,0.0047237463650837514,0.8566708918461012,0,iforest,91692
0.9653391412570006,0.9885299177977442,0.9767969020558511,0.007329043803207937,0.9924348618226417,1,iforest,91692
0.9500763025942882,0.8331103039571783,0.8877571806885313,0.009039592626218767,0.9954889883091468,2,iforest,91692
0.950822078684674,0.8254635824890079,0.8837193437254836,0.008815905472440428,0.9518489083843277,3,iforest,91692
0.9501945525291828,0.5446377365704455,0.692401166558652,0.0058948144054527035,0.5596498171197518,4,iforest,91692
0.938413218626246,0.4379022494105652,0.597149808828641,0.005934288609060646,0.9939240460463888,5,iforest,91692
0.9469981690276573,0.6262027655642644,0.7538933640199463,0.007236937328122739,0.741533881508687,6,iforest,91692
0.9184186882300089,0.3256866118651628,0.4808542666290338,0.0059737628126685875,0.6956631732738516,7,iforest,91692
0.9676878666542509,0.6622060791435672,0.7863196125907991,0.004565849550651983,0.951526337424005,8,iforest,91692
0.9470223988991667,0.7893965462308036,0.8610551192048377,0.00911854103343465,0.9899943064462626,9,iforest,91692
0.9535887044058047,0.9295864398139297,0.9414346100480785,0.00934222818721299,0.9711886362032583,10,iforest,91692
0.9532302438098852,0.6402854776014784,0.766028817564992,0.006486927459571836,0.6358972602901275,11,iforest,91692
0.9475842752825848,0.6036449372331613,0.7374854028804982,0.006894827563520572,0.8920629266849687,12,iforest,91692
0.9529411764705882,0.5626075320206462,0.7075086144723135,0.005736917591020935,0.9755552919078871,13,iforest,91692
0.960583115136933,0.8649716434078889,0.9102736051502146,0.007329043803207937,0.9585796093211262,14,iforest,91692
