fold,f1,auroc,fpr,pct_routed_to_stage2,avg_stage2_weight,degenerate
0,0.8126644028887082,0.9266822844741293,0.07478197674418605,17.177060133630288,0.6692007780075073,False
1,0.6677761296624579,0.781991578455164,0.8339275661474949,66.33138440194233,0.8348278999328613,False
2,0.9830773561888079,0.9833992614004488,0.2440041710114703,4.055351595594465,0.41277599334716797,False
3,0.9624222115844902,0.9838915222222884,0.1797520661157025,4.718268668356405,0.6255898475646973,False
4,0.8716770594026911,0.9156944080270162,0.02962911803301333,56.321483771251934,0.2550707161426544,False
