feature,xgb_wrong_cnn_right_mean,xgb_right_cnn_wrong_mean
lifetime_seconds,1.1556618363385038,1.0567922746327125
events_per_second,1.358466077029311,1.0046641816169133
seq_length,1.7391304347826086,1.0202865988269565
unique_syscalls,1.0531400966183575,1.001463038679085
uid_is_root,0.3333333333333333,0.002272935090721461
uid_changed,0.0,0.0
euid_root,0.3333333333333333,0.011403863989654227
max_uid_euid_delta,0.0,9.139981450759604
auid_euid_mismatch,0.3333333333333333,0.9971261740232258
failed_call_rate,0.966183574879227,0.0004075706527340186
failed_call_count,1.2657004830917875,0.0012148446174545739
priv_op_count,0.043478260869565216,0.0026256319151437566
exec_count,0.5990338164251208,0.0249369717711912
file_access_count,0.0,0.9720455109531958
network_count,0.0,0.0
shell_from_service,0.0,0.0003135082883753739
sensitive_path_access,0.033816425120772944,3.918853604692174e-05
