feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
priv_op_count,2333,13360,0.0861551650235748,0.012874251497005988,6.69205235299395,5.69205235299395
shell_from_service,2333,13360,0.010287183883411917,0.24131736526946107,0.04262927316451092,0.9573707268354891
failed_call_rate,2333,13360,0.004929275610801543,0.06327345309381237,0.07790432432213165,0.9220956756778683
uid_is_root,2333,13360,0.06643806258036862,0.4758982035928144,0.13960561750137224,0.8603943824986278
failed_call_count,2333,13360,0.009858551221603087,0.06946107784431138,0.141929142586872,0.8580708574131279
euid_root,2333,13360,0.3660522931847407,0.6897455089820359,0.5307063089471661,0.4692936910528339
max_uid_euid_delta,2333,13360,299.91127303900555,214.7995508982036,1.3962378961450321,0.39623789614503213
auid_euid_mismatch,2333,13360,0.8876982426060865,0.6816616766467066,1.3022563436057226,0.3022563436057226
exec_count,2333,13360,0.8182597513930562,0.9699850299401198,0.8435797730234763,0.1564202269765237
events_per_second,2333,13360,1.1215901709073837,1.2936628206977874,0.8669880226614307,0.1330119773385693
seq_length,2333,13360,1.1290184312044578,1.299625748502994,0.868725810107214,0.13127418989278605
lifetime_seconds,2333,13360,1.0186502356106153,1.0024136227761913,1.016197518135734,0.01619751813573389
unique_syscalls,2333,13360,1.0158594084869268,1.0193862275449102,0.9965402523963097,0.0034597476036902775
uid_changed,2333,13360,0.0,0.0,,
file_access_count,2333,13360,0.02743249035576511,0.0,,
network_count,2333,13360,0.0,0.0,,
sensitive_path_access,2333,13360,0.0008572653236176596,0.0,,
