strategy,n,accuracy,precision,recall,f1
llm,398,0.9522613065326633,0.9919571045576407,0.9585492227979274,0.9749670619235836
always_xgb,398,0.5628140703517588,0.9862385321100917,0.5569948186528497,0.7119205298013245
always_cnn,398,0.4371859296482412,0.95,0.4430051813471503,0.6042402826855123
trust_more_confident,398,0.9597989949748744,0.9743589743589743,0.9844559585492227,0.979381443298969
blend_at_0.5,398,0.9748743718592965,0.9747474747474747,1.0,0.9872122762148338
majority_class,398,0.9698492462311558,0.9698492462311558,1.0,0.9846938775510204
