feature,cnn_wrong_iforest_right_mean,cnn_right_iforest_wrong_mean
lifetime_seconds,1.0005673029241906,5.7351661844087065
events_per_second,1.0040114457838134,0.9936172838949556
seq_length,1.0042373986283866,1.1612967581047382
unique_syscalls,1.0005084878354065,1.0068827930174564
uid_is_root,0.003337766304206107,0.4779052369077307
uid_changed,0.0,0.0
euid_root,0.012425356593392266,0.7626932668329177
max_uid_euid_delta,9.09659965057759,286.0568578553616
auid_euid_mismatch,0.9962189366085166,0.7891271820448877
failed_call_rate,0.00018905316957417405,0.07205040000600779
failed_call_count,0.00033899189027093273,0.08518703241895262
priv_op_count,0.0025294010274061907,0.006982543640897756
exec_count,0.027340999765313307,0.9695760598503741
file_access_count,0.9683172964092936,0.07830423940149626
network_count,0.0,0.0
shell_from_service,0.00031291559101932255,0.00039900249376558606
sensitive_path_access,2.6076299251610212e-05,0.00199501246882793
