feature,rf_wrong_cnn_right_mean,rf_right_cnn_wrong_mean
lifetime_seconds,1.0,1.0567974681885146
events_per_second,1.0434782608695652,1.0046123519886025
seq_length,1.0434782608695652,1.0202361978418206
unique_syscalls,1.0144927536231885,1.0014501084315313
uid_is_root,0.0,0.002220886787030021
uid_changed,0.0,0.0
euid_root,0.0,0.01135265069370052
max_uid_euid_delta,0.0,9.140817286337628
auid_euid_mismatch,0.0,0.9971651033365558
failed_call_rate,0.9855072463768116,0.00032922368482673586
failed_call_count,0.9855072463768116,0.0010973793535913046
priv_op_count,0.0,0.0026258720246649073
exec_count,0.0,0.02493925221435477
file_access_count,0.0,0.9721344028427351
network_count,0.0,0.0
shell_from_service,0.0,0.00031353695816894415
sensitive_path_access,0.050724637681159424,1.3064039923706006e-05
