precision,recall,f1,fpr,auroc,repeat,model,n_total
0.9445662386470404,0.8114694238382596,0.8729738670195171,0.019131884930745358,0.9382738587877129,0,xgb,90778
0.5300477018412019,0.913979321213053,0.6709744776308921,0.32555087166658947,0.9354197058505653,1,xgb,90778
0.9678325123152709,0.7551600876350079,0.8483710084850055,0.010083229103936012,0.9442013939122849,2,xgb,90778
0.9765692503176621,0.7385171234193028,0.8410224984680031,0.007118481802319297,0.9374439731323052,3,xgb,90778
0.9534894051796899,0.8249990390898259,0.8846027035938016,0.016167137629128643,0.9413614487534008,4,xgb,90778
0.9299371456199728,0.81319906215167,0.8676591207349081,0.02461357916029709,0.9231696242298066,5,xgb,90778
0.9797768810823642,0.7932890033439675,0.8767257125865511,0.006578033075462083,0.9400804144284252,6,xgb,90778
0.9593812326701366,0.7580428181573586,0.8469102932966891,0.01289356248359352,0.9452222398588161,7,xgb,90778
0.5351652094924492,0.9057923665295768,0.6728144806715012,0.31606985685829436,0.93886734816557,8,xgb,90778
0.5389605970555543,0.9132105930737595,0.6778601997146932,0.3138308549898859,0.9484520764611994,9,xgb,90778
0.9535674880470761,0.7972479532613291,0.8684293160836526,0.015595806117879588,0.9347312249355995,10,xgb,90778
0.9654180079992196,0.7607718030518507,0.8509641221866334,0.010947947066907552,0.9366912772260398,11,xgb,90778
0.9282765737874097,0.8297651535534458,0.8762608325046172,0.0257562421827952,0.9409890875662952,12,xgb,90778
0.9749917581123723,0.7957104969827421,0.8762751322751323,0.008199379256033723,0.9195829096750839,13,xgb,90778
0.8035953414762813,0.7611561671214975,0.7818002368732728,0.07473633822825466,0.9347917272148689,14,xgb,90778
