repeat,fold,f1,auroc,fpr,fnr,pct_routed_to_stage2,avg_stage2_weight,degenerate
0,0,0.7417688004441217,0.9218186875398355,0.2433139534883721,0.2370871398453971,17.177060133630288,0.6692007780075073,False
0,1,0.6697190426638918,0.7800136714004321,0.006004878964158379,0.4931751364972701,66.33138440194233,0.8348278999328613,False
0,2,0.9797947808462123,0.9830312562315332,0.16684045881126172,0.020143155761069287,4.055351595594465,0.41277599334716797,False
0,3,0.9621763512707314,0.9834981359773258,0.19421487603305784,0.03100216294160063,4.718268668356405,0.6255898475646973,False
0,4,0.8037982195845698,0.8853536341035401,0.1320533185993508,0.17070781288268433,56.321483771251934,0.2550707161426544,False
1,0,0.9148923893601062,0.9804010512516126,0.3188796121734446,0.03540576712495436,12.034864230640295,0.3512348532676697,False
1,1,0.8944401742249551,0.9850570337830308,0.02434731592842476,0.17509451795841213,12.563800549666274,0.4659584164619446,False
1,2,0.9326227636086791,0.9579351471625288,0.21175373134328357,0.07640110580547876,10.057414373391408,0.43005457520484924,False
1,3,0.6710501596843885,0.7367156315446778,0.8215174702682769,0.12955893103728378,57.49632956213835,0.933916449546814,False
1,4,0.9348070558750763,0.9701565221669416,0.012644208583294878,0.10765550239234445,9.84936268829664,0.6616801023483276,False
2,0,0.9318475073313783,0.9662664024480525,0.049467488789237665,0.09242545413001257,20.422934105355907,0.6123114824295044,False
2,1,0.9500636942675159,0.9829586385593347,0.28952442159383035,0.02399232245681382,8.919994510772607,0.3407098352909088,False
2,2,0.6973295307233601,0.8809452662457488,0.002863887921359186,0.4615199807800112,38.8300370505662,0.5427210330963135,False
2,3,0.8953042207198977,0.970889907248904,0.07712305025996534,0.16496250852079075,3.5469667318982387,0.520573079586029,False
2,4,0.8977795091546552,0.9373983251625039,0.16754733597534127,0.1391752577319587,8.366800535475234,0.5106252431869507,False
3,0,0.7979434061397583,0.8622349074275375,0.02037665946279716,0.3222186802677718,54.15307402760351,0.7052596211433411,False
3,1,0.9588800168841676,0.9643493092582581,0.01318122253911971,0.0682253213016133,39.33190826419333,0.2452191561460495,False
3,2,0.9363992744719443,0.9571909812710082,0.17970660146699266,0.05869897659098933,7.372802174467001,0.49019190669059753,False
3,3,0.678355314197052,0.9334588921545444,0.014492753623188406,0.47451923076923075,8.634337184969521,0.25021570920944214,False
3,4,0.9304766821545345,0.9757875491292589,0.06648089171974522,0.10598544973544977,10.385514018691588,0.5599072575569153,False
4,0,0.946740681998414,0.9866300087818715,0.052147701582516956,0.08200049212598426,8.1909920929623,0.7620488405227661,False
4,1,0.9519230769230769,0.977979189463396,0.17256637168141592,0.049219687875150075,8.687440982058545,0.6380470991134644,False
4,2,0.7589458819023912,0.8895275548040094,0.4116732940262352,0.06289159475115258,61.81148026909297,0.4750872254371643,False
4,3,0.903027980068992,0.9754362417889659,0.015373441471976758,0.13857404021937847,4.892688250272827,0.714535117149353,False
4,4,0.8338435553678877,0.895987140302448,0.3084795321637427,0.1924138636131275,10.406913935902052,0.393839031457901,False
5,0,0.7188614051445181,0.8730482829540944,0.39653819323334494,0.08111329220415031,37.60752688172043,0.8018430471420288,False
5,1,0.843321610564846,0.8929461710541874,0.11413043478260869,0.23918673918673916,3.8533658353647104,0.4328462779521942,False
5,2,0.9352772255356748,0.9793131333615585,0.05074796440068169,0.087762137316863,17.4303683737646,0.5017988085746765,False
5,3,0.9807478253699963,0.9937470665122875,0.05227188769855929,0.01523304909346801,3.5671411421711543,0.46659883856773376,False
5,4,0.8148974130240857,0.9380568596540272,0.505568356374808,0.08592870544090059,27.168067863364385,0.373700886964798,False
6,0,0.7696650357546104,0.8623225546632746,0.7548624372303557,0.018295284830381897,48.78219357192812,0.7732227444648743,False
6,1,0.9673055242390078,0.9869464335601182,0.20667522464698332,0.005025125628140725,3.9809863339275102,0.6464507579803467,False
6,2,0.9752169536712098,0.9764248533012948,0.2621359223300971,0.02316202517848387,3.3658367569172896,0.4056231379508972,False
6,3,0.6387563490841927,0.7162598736516269,0.002388998951171192,0.5263638438712623,2.2095344195330267,0.5765118598937988,False
6,4,0.8984733639372264,0.9377208523818278,0.025735762517518156,0.15109945531571511,24.17616742152116,0.6597943902015686,False
7,0,0.852214377406932,0.9253825589359492,0.017087872587513132,0.2466666666666667,37.61374353223052,0.7113915085792542,False
7,1,0.9625629949604032,0.9934714862082054,0.07478545157335513,0.041748790539329894,5.119581464872945,0.605549156665802,False
7,2,0.8627373573881805,0.8654016181861931,0.053957801370783494,0.19660319094184253,6.7513955692869425,0.46625107526779175,False
7,3,0.7516339869281046,0.890874065988316,0.5196017423771002,0.17154434939216567,36.102403343782655,0.3540080785751343,False
7,4,0.813728058684831,0.9693606879752936,0.5430310663308144,0.039727933219972145,30.69527285676133,0.2774118185043335,False
8,0,0.7796132466922414,0.8399265179516897,0.17521166509877706,0.21018401015228427,14.09035656401945,0.6142686009407043,False
8,1,0.9836973239003384,0.9686355555295352,0.33186813186813185,0.006126798082045859,2.4318107131120605,0.7320990562438965,False
8,2,0.6966551906114141,0.8277731363062708,0.752802359882006,0.0406284606866002,55.88324411675588,0.8050058484077454,False
8,3,0.9392588819559404,0.9679240264765325,0.2155688622754491,0.07452948557089079,4.70954356846473,0.4770087003707886,False
8,4,0.9399633363886343,0.9944666203103069,0.02829581993569132,0.084238726000893,8.32758382779081,0.48486843705177307,False
9,0,0.9231717971118762,0.9799441579204634,0.06800727566693614,0.08384332925336602,10.852791878172589,0.48758766055107117,False
9,1,0.9733573203118308,0.9907128920495231,0.1548956661316212,0.020348335919986194,4.9254790631653655,0.35791122913360596,False
9,2,0.7333188694503067,0.8272961733284306,0.729453995843567,0.09440763834762278,43.82124316752273,0.42927879095077515,False
9,3,0.9441326530612245,0.9791896880550712,0.1018957345971564,0.08684924747100908,12.109454768225444,0.5449506044387817,False
9,4,0.870811185578923,0.9404687205352815,0.06710734300905302,0.14731839782756284,50.48338899630866,0.5182531476020813,False
10,0,0.8999698158768488,0.9550640409436119,0.01937939785442381,0.1505413105413106,12.625895148010569,0.5340031385421753,False
10,1,0.759018759018759,0.8930522546237497,0.529655990510083,0.17393011385944246,26.884006614694073,0.5235702991485596,False
10,2,0.975539651059182,0.989771708346746,0.0666131621187801,0.03425904848622807,5.969028625058658,0.5009652972221375,False
10,3,0.5668517338672977,0.7997866409513665,0.0185068349106204,0.5907477986594822,61.86797110725062,0.9817764759063721,False
