repeat,seed,f1,auroc,fpr,recall,fnr
0,42,0.8404431334457627,0.9179771113675962,0.14704832389208605,0.830613899789584,0.169386100210416
1,43,0.8656584671097235,0.9259735871051001,0.2702064078509828,0.8990645838651388,0.10093541613486123
2,44,0.8808201170400739,0.9512891485938869,0.14839749468478497,0.9037590761195844,0.09624092388041561
3,45,0.8545767313924941,0.9409320591646635,0.09106090904976046,0.8082452721040612,0.19175472789593884
4,46,0.8624406176261425,0.9475828979483326,0.2665250673173166,0.9131789933526365,0.08682100664736347
5,47,0.853901403350366,0.937211154714773,0.2078617592115739,0.8826477414751487,0.11735225852485132
6,48,0.8143081128817666,0.9037257887902299,0.2942652243089361,0.8527036759885016,0.1472963240114984
7,49,0.8819150573499069,0.9259789260626208,0.16466136387369773,0.8804205507158743,0.11957944928412567
8,50,0.8749291485000452,0.9321959637566211,0.2445145537449232,0.9176328968653505,0.08236710313464946
9,51,0.8975633392326723,0.9440512531745778,0.20816899435904715,0.9225576015781538,0.07744239842184619
10,52,0.8271175749557076,0.9070180010429288,0.26914000119434445,0.8873790238920993,0.11262097610790067
11,53,0.8768830507616044,0.9462434492877133,0.24244966577058907,0.9215160729415317,0.0784839270584683
12,54,0.8218614488064967,0.9229261827435579,0.22720829532024295,0.847279970992395,0.15272002900760495
13,55,0.8150749866380457,0.9108447055737848,0.18367403493281614,0.8278079260901559,0.17219207390984415
14,56,0.8183643769191683,0.9305157910284038,0.24926568801841625,0.8729437564104426,0.12705624358955736
