repeat,seed,f1,auroc,fpr,recall,fnr
0,42,0.9899566021475039,0.9973069821560162,0.09495224239651373,0.9892400806993947,0.01075991930060527
1,43,0.8172747249423552,0.9800394542374596,0.07898595251009508,0.7886170051366523,0.21138299486334766
2,44,0.9943018785932318,0.9166945026712732,0.13970687530595363,0.996308550443459,0.0036914495565409933
3,45,0.9057257531871499,0.9613359489738915,0.09350401970495631,0.8667508224625647,0.13324917753743526
4,46,0.9914074503116787,0.9475852884543716,0.16696853223516533,0.9969278059012159,0.00307219409878412
5,47,0.8360545778806723,0.9652884739694623,0.024054398420290272,0.8028346974176104,0.19716530258238962
6,48,0.990042107104213,0.8456958840478122,0.2631990635835192,0.9933535304083788,0.006646469591621185
7,49,0.8571371019926777,0.8816729624897934,0.07406557773331549,0.8215738294189171,0.1784261705810829
8,50,0.9679561695085127,0.9935440809985523,0.029593867163466642,0.9598660587900568,0.04013394120994318
9,51,0.9820370121596214,0.8547127429325303,0.23387676160760912,0.9782829849488742,0.021717015051125776
10,52,0.8457129174049065,0.9404408302091372,0.138366495956119,0.8085266397500832,0.1914733602499168
11,53,0.9904100600387605,0.9360148711396219,0.17529779630732578,0.9898991285385916,0.010100871461408367
12,54,0.9874425799007522,0.938905292349163,0.12009962818529153,0.9822575819083018,0.017742418091698187
13,55,0.9884829047143051,0.9411001711983795,0.1809296392073565,0.9903552894350209,0.009644710564979064
14,56,0.9458558875927713,0.9358858832889537,0.13320886676149835,0.9141657782515992,0.08583422174840083
