repeat,fold,f1,auroc,fpr,fnr,pct_routed_to_stage2,avg_stage2_weight,degenerate
0,0,,,,,,,True
0,1,0.990095007074995,0.9985349801428375,0.0026248476650908652,0.0,0.008287260113417074,0.31174471974372864,False
0,2,0.975659924580048,0.9988624759135856,0.005892255892255892,0.04303967720242097,0.0,0.0,False
0,3,0.9958429561200923,0.9938262864954593,0.18947368421052632,0.0,6.39715681919147,0.9542602896690369,False
0,4,0.9982285208148804,0.998487537307413,0.18181818181818182,0.0,0.0,0.0,False
1,0,,,,,,,True
1,1,0.9681423251965247,0.9969799414018481,0.0,0.0617481956696071,0.0,0.0,False
1,2,0.9895766858115295,0.9246604009426451,0.1451851851851852,0.0,0.04693073024216257,0.3010675311088562,False
1,3,0.22727272727272727,0.9999767199670296,2.6917538121963364e-05,0.8648648648648649,0.004035621082084533,0.13596034049987793,False
1,4,0.970954356846473,0.9985407546383156,0.17073170731707318,0.0,0.0,0.0,False
2,0,,,,,,,True
2,1,0.9916573971078977,0.9839027842076624,0.02119309262166405,0.01164079822616404,0.0,0.0,False
2,2,0.9871150624919469,0.6832655412906875,0.5376344086021505,0.0,0.04979459728619445,0.056924909353256226,False
2,3,0.9984350547730829,0.999609685186743,0.0,0.0031250000000000444,0.0026021337496747333,0.0017589926719665527,False
2,4,1.0,1.0,0.0,0.0,0.0,0.0,False
3,0,,,,,,,True
3,1,0.9891506206626918,0.9413561503748957,0.0886899918633035,0.0003951007506913795,0.03179144810046098,0.40198713541030884,False
3,2,0.9889155982905983,0.9040860233056524,0.28532608695652173,0.008170372354674549,0.19147306612203216,0.4936538338661194,False
3,3,0.9997052755673446,0.999910489844327,0.0,0.0005892751915144157,0.0,0.0,False
3,4,0.6451315182279649,0.9999031434907256,0.0,0.523841961852861,0.2018735981000132,0.4130665063858032,False
4,0,,,,,,,True
4,1,0.9879183446743508,0.999569092741204,0.0013368806999430832,0.010157228328927181,0.24173274028234387,0.5792321562767029,False
4,2,0.9922170335779409,0.8182019964203548,0.3280757097791798,0.0001493875112040799,0.057053202110968475,0.2830318808555603,False
4,3,0.9990079365079365,0.9997565767739467,0.0,0.001982160555004997,0.0,0.0,False
4,4,0.9864864864864865,0.972813487881981,0.3384615384615385,0.0,0.1152073732718894,0.16819602251052856,False
5,0,,,,,,,True
5,1,0.9776366282916501,0.9466331575186392,0.08191653786707882,0.01676869842959805,0.0,0.0,False
5,2,0.9918263257699601,0.9993198386196549,0.0013274514273454994,0.0034165571616294743,0.018250617479224716,0.46993178129196167,False
5,3,0.375,0.9151978973407544,0.012987012987012988,0.7678571428571428,0.0,0.0,False
5,4,0.9996904982977406,1.0,0.0,0.0006188118811880639,0.0,0.0,False
6,0,,,,,,,True
6,1,0.9614653533782617,0.9994242851178323,0.0003974878766197631,0.06956521739130439,0.983377120828934,0.4142719805240631,False
6,2,0.9912759885854057,0.8907752627851498,0.3002832861189802,0.0001644736842105754,0.0155448468832582,0.21232062578201294,False
6,3,0.9978401727861771,0.9999116529728774,0.02040816326530612,0.0,0.0,0.0,False
6,4,0.9869413813116656,0.4925810916444948,0.7317073170731707,0.0,0.0,0.0,False
7,0,,,,,,,True
7,1,0.9943370618243085,0.9993527789941182,0.001602415542106448,0.0,0.5073490143265146,0.6714709997177124,False
7,2,0.9875986471251409,0.8489867249434172,0.29476584022038566,0.000684462696783017,0.12642225031605564,0.41656219959259033,False
7,3,0.44642857142857145,0.6782961460446247,0.0,0.7126436781609196,0.0,0.0,False
7,4,1.0,1.0,0.0,0.0,0.0,0.0,False
8,0,,,,,,,True
8,1,0.9886853138820286,0.9751138842995354,0.09830007390983,0.007380924922154253,0.0,0.0,False
8,2,0.9737339380196524,0.9995640004881627,0.0012074702157346786,0.03519940086126194,0.8963781814539854,0.6737467050552368,False
8,3,0.9743589743589743,0.9995034756703078,0.018867924528301886,0.0,2.7777777777777777,0.15771514177322388,False
8,4,1.0,1.0,0.0,0.0,0.0,0.0,False
9,0,,,,,,,True
9,1,0.9541492989768852,0.9847616011910536,0.008176614881439084,0.08547215496368044,0.14944890715486642,0.7026652693748474,False
9,2,0.9901768172888016,0.7969387998962132,0.3470031545741325,0.0,0.06824773929363591,0.15519148111343384,False
9,3,0.9998468840912571,0.999999997939647,0.0,0.0003061849357011148,0.0,0.0,False
9,4,0.9833720722331486,0.6368613224770144,0.5844155844155844,0.0010897203051216664,0.0,0.0,False
10,0,,,,,,,True
10,1,0.9901306240928882,0.9981103379902261,0.010830324909747292,0.01912293314162472,2.184734513274336,0.5790783762931824,False
10,2,0.9863901490602722,0.7829131395858163,0.5426356589147286,0.0,0.0875328248093035,0.5525851249694824,False
10,3,0.9985639061752034,1.0,0.0,0.002868068833651982,0.0,0.0,False
10,4,0.4077669902912621,0.9807426981268854,0.0,0.7439024390243902,0.0,0.0,False
11,0,,,,,,,True
11,1,0.9809365934521342,0.7490846236524201,0.4794520547945205,0.009208874005860235,0.013149243918474687,0.5698498487472534,False
11,2,0.9985805535841022,0.999993906341068,2.6497436373030908e-05,0.002481389578163795,1.0737047127131076,0.5930661559104919,False
11,3,0.9997198094704399,0.9999756287775394,0.021739130434782608,0.0,0.0,0.0,False
11,4,0.9968282736746715,0.9949999999999999,0.2,0.0,0.0,0.0,False
12,0,,,,,,,True
12,1,0.9673481843149222,0.9999934428393787,2.651078326109145e-05,0.0628695309420575,0.22852884555672856,0.7960987687110901,False
12,2,0.9834471724816934,0.7773139242500837,0.4581497797356828,0.007575757575757569,0.0,0.0,False
12,3,0.9992372234935164,0.9783206106870228,0.022222222222222223,0.0,0.0,0.0,False
12,4,0.999737739312877,0.999991112138153,0.0,0.000524383848977461,0.0,0.0,False
13,0,,,,,,,True
13,1,0.9779190955661544,0.9978491324378151,0.0014342586759245606,0.025180489522803273,0.019929747639570512,0.23116719722747803,False
13,2,0.994387358604611,0.9987408373141136,0.003341687552213868,0.010482900842069043,0.0,0.0,False
13,3,0.9941860465116279,0.9455583982864282,0.061224489795918366,0.002915451895043719,0.0,0.0,False
13,4,0.987439118174827,0.8222487054576373,0.6577181208053692,0.0,0.0,0.0,False
14,0,,,,,,,True
14,1,0.9914902363823227,0.8059227801053214,0.4517543859649123,8.291873963517382e-05,0.00798977309044423,0.058174192905426025,False
14,2,0.870380584666299,0.9376275259157582,0.00021471322365066158,0.21726190476190477,0.36278897333368637,0.5816487669944763,False
14,3,0.9991189427312775,0.9999523332856666,0.08108108108108109,0.0,0.0,0.0,False
