precision,recall,f1,fpr,auroc,repeat,model,n_total
0.9907651715039578,0.7178359778245077,0.8325019399179692,0.0013815971262779773,0.9988769723647546,0,mlp,91692
0.9878467635402907,0.4765181928248264,0.6429093410136267,0.0012105422439768945,0.9977927024627808,1,mlp,91692
0.9848870159122285,0.8637609125087619,0.9203557848995111,0.0027368781168173265,0.9986465959185874,2,mlp,91692
0.985816219979116,0.7219142292741987,0.8334743424682729,0.0021447650626981933,0.9987590239072083,3,mlp,91692
0.9904331188032701,0.7256738673293825,0.8376300981942555,0.0014473874656245477,0.9989323740938355,4,mlp,91692
0.9844693116310613,0.9249984069330275,0.9538077403245943,0.003013197542072922,0.9987826850361343,5,mlp,91692
0.9841483073616335,0.46683234563181036,0.6332713834982928,0.0015526520085790603,0.9980603060201015,6,mlp,91692
0.9844971090920643,0.9873829095775186,0.9859378976838891,0.003210568560112633,0.9979687378410448,7,mlp,91692
0.9900885702235344,0.5983559548843433,0.7459188942288597,0.0012368583797155227,0.998087697070962,8,mlp,91692
0.9892348284960422,0.5972726693430191,0.7448347107438017,0.001342122922670035,0.9981131688700957,9,mlp,91692
0.9893212095580461,0.5962531064805965,0.7440658423124329,0.001328964854800721,0.9982803655449601,10,mlp,91692
0.9864156188791307,0.9948384630089849,0.9906091370558375,0.002828984591902525,0.9975355914856752,11,mlp,91692
0.9917808219178083,0.7150959026317466,0.8310130331753555,0.0012237003118462085,0.9974069609542959,12,mlp,91692
0.9797400611620795,0.6532849040973683,0.7838819436479718,0.002789510388294583,0.9987101509040219,13,mlp,91692
0.990955826351866,0.6632893646848913,0.7946711455510173,0.0012500164475848367,0.9985636844955182,14,mlp,91692
