precision,recall,f1,fpr,auroc,repeat,model,n_total
0.8880467393020686,0.8030680102810983,0.843422278876951,0.11878036522030491,0.9245197255454278,0,mlp,90805
0.8040229030339084,0.882256945861042,0.8413251113661564,0.2523035684369241,0.9258403693429905,1,mlp,90805
0.805648982625662,0.8844192403410713,0.8431984596983576,0.25031711461599215,0.9364381709219188,2,mlp,90805
0.9307915866213488,0.7709191791440577,0.8433455324466661,0.06725223176890123,0.9304783986278684,3,mlp,90805
0.9902702131034847,0.7640243156133981,0.8625581502464189,0.008807409712083861,0.9288893982925217,4,mlp,90805
0.7435009310986964,0.8144506548080453,0.7773602538891377,0.32965560156044327,0.9060995177048072,5,mlp,90805
0.6973261860435257,0.8863163477622292,0.7805443276744812,0.4513558145657325,0.9316257263158494,6,mlp,90805
0.9842750187818968,0.7750397780588307,0.8672152288782625,0.014527439389225284,0.9264333804586157,7,mlp,90805
0.9790763143878871,0.787483170821264,0.8728900747306418,0.019744872316492353,0.9304242267555042,8,mlp,90805
0.7644410818989975,0.8244461670270491,0.7933105641267224,0.29806380585405545,0.9262748799053829,9,mlp,90805
0.9256015964315061,0.8042511525437559,0.8606699629981336,0.07584424287389609,0.9296147522401979,10,mlp,90805
0.9858286484105806,0.7762229203214883,0.8685589071113089,0.013091448675298566,0.948567216015639,11,mlp,90805
0.8171595637017879,0.8894373954551018,0.8517679234225435,0.23349209008448413,0.941856556233074,12,mlp,90805
0.9804869406762503,0.7902778344416792,0.8751666026611246,0.01845248067395831,0.9422325786318109,13,mlp,90805
0.9068305735056543,0.7328342376892008,0.8106004196845596,0.08833736208505852,0.9326297571362959,14,mlp,90805
