precision,recall,f1,fpr,auroc,repeat,model,n_total
0.9319584562377612,0.7669617722655134,0.8414479941811671,0.06569657516214729,0.8733054405649262,0,cnn,90805
0.9727112900349071,0.7787523968830321,0.8649922396311276,0.025632434243591892,0.9203590287190654,1,cnn,90805
0.9534293831168831,0.7667577822202276,0.8499649503651946,0.04394131584615753,0.8530317022207032,2,cnn,90805
0.9766384122389911,0.7709191791440577,0.8616703527212203,0.02163559342316253,0.9343903477482058,3,cnn,90805
0.9826752131583721,0.6629880461833463,0.7917803547066848,0.013713711318000144,0.8619659860467176,4,cnn,90805
0.7914246857310887,0.8784423320141977,0.8326662412746292,0.27161764353923845,0.9118992957578966,5,cnn,90805
0.9411597431218749,0.8101668638570437,0.8707644073184903,0.05942608237800062,0.7413118167890271,6,cnn,90805
0.9842896544264778,0.7425441638448044,0.8464955118366587,0.013905176746523706,0.8872288960068416,7,cnn,90805
0.7372128691682123,0.8432336501978703,0.7866671741488572,0.35265538616183617,0.857623140360853,8,cnn,90805
0.7571344485161486,0.8134307045816164,0.7842736185821475,0.30612928703061054,0.8833925083476102,9,cnn,90805
0.902223156321517,0.7881155399616498,0.841317886851618,0.10020821865351938,0.9202522980301486,10,cnn,90805
0.7590060586212543,0.7564358859287666,0.7577187927828521,0.28178924442955267,0.9064343634852916,11,cnn,90805
0.9635038324733229,0.7846477091917914,0.8649262457276489,0.03487064116985377,0.9152641111399047,12,cnn,90805
0.9500687791104568,0.8030680102810983,0.8704053770216341,0.04951774645190628,0.9179966994515152,13,cnn,90805
0.676713817521099,0.812920729468402,0.7385901344626591,0.4556398535289472,0.8729964488371266,14,cnn,90805
