precision,recall,f1,fpr,auroc,repeat,model,n_total
0.904013881912416,0.8076781853045572,0.8531351001939237,0.10061508268913194,0.9311249134963426,0,xgb,90805
0.9386175690435326,0.6135612582105994,0.742052869848397,0.04707656223823086,0.9406033805453126,1,xgb,90805
0.9545498736146218,0.8011505038554119,0.8711487700463589,0.044755043917382664,0.9348674863861532,2,xgb,90805
0.771423974831075,0.880319040430827,0.8222819252315079,0.30603355431634877,0.9332750458577757,3,xgb,90805
0.9529315411668353,0.8069846191505855,0.8739065123265883,0.04676543091688007,0.9391989469444394,4,xgb,90805
0.7781796158504931,0.9173636326547264,0.8420589446878628,0.30679941603044303,0.9324102572957496,5,xgb,90805
0.9192523364485982,0.8025784341724124,0.8569623837424583,0.08271306512217888,0.9352207807601591,6,xgb,90805
0.9863364422499151,0.7701440169719718,0.8649354517233875,0.01251705238972788,0.9306251474055462,7,xgb,90805
0.9750286311806005,0.7988862143527395,0.8782123155581468,0.024004978101141612,0.9380674676274465,8,xgb,90805
0.9601560840942875,0.7378523928032312,0.8344522112256904,0.03592370102673336,0.9294828016873068,9,xgb,90805
0.9750126710593006,0.7848313002325487,0.8696458036662824,0.023598114065529044,0.9471590988475456,10,xgb,90805
0.9536252240034871,0.8032923993309127,0.8720271048319235,0.045832036952827705,0.9359084846963178,11,xgb,90805
0.8992554938257721,0.8155522010525886,0.8553609824456306,0.10719670679462939,0.932814623389456,12,xgb,90805
0.9824699575722161,0.7888499041246787,0.8750777864521457,0.01651389321015724,0.931706814104212,13,xgb,90805
0.8037629910573186,0.8818897637795275,0.8410158643698509,0.2526146997582749,0.9334362469613171,14,xgb,90805
