technique,FN,TP,total,fn_rate
T1548,7825,77,7902,0.9902556314856998
T1595,1946,50,1996,0.9749498997995992
T1222,507,287,794,0.6385390428211587
T1059,1790,3211,5001,0.35792841431713657
