feature,rf_wrong_cnn_right_mean,rf_right_cnn_wrong_mean
lifetime_seconds,1.0,1.3093985050025572
events_per_second,1.0294117647058822,1.0571313980751245
seq_length,1.0294117647058822,1.1538205980066445
unique_syscalls,1.0147058823529411,1.0113787375415282
uid_is_root,0.3264705882352941,0.4112956810631229
uid_changed,0.0,0.0
euid_root,0.3264705882352941,0.7064784053156146
max_uid_euid_delta,0.0,296.2967607973422
auid_euid_mismatch,0.3264705882352941,0.8075581395348838
failed_call_rate,0.4117647058823529,0.05621171025522134
failed_call_count,0.4147058823529412,0.06196013289036545
priv_op_count,0.0,0.022591362126245847
exec_count,0.5529411764705883,0.9555647840531561
file_access_count,0.0,0.014285714285714285
network_count,0.0,0.0
shell_from_service,0.0,0.002325581395348837
sensitive_path_access,0.020588235294117647,0.001079734219269103
