feature,xgb_wrong_cnn_right_mean,xgb_right_cnn_wrong_mean
lifetime_seconds,1.075024999976158,1.309266157177204
events_per_second,1.1889495324108839,1.0572553055195038
seq_length,1.3825,1.1538461538461537
unique_syscalls,1.03,1.0112975577338428
uid_is_root,0.43,0.4110317328459877
uid_changed,0.0,0.0
euid_root,0.43,0.7062634989200864
max_uid_euid_delta,0.0,296.34598770559893
auid_euid_mismatch,0.43,0.8073600265824887
failed_call_rate,0.495,0.056221049299955556
failed_call_count,0.65,0.06213656753613557
priv_op_count,0.02,0.022512045190230937
exec_count,0.78,0.9557235421166307
file_access_count,0.0,0.014288087722212992
network_count,0.0,0.0
shell_from_service,0.0,0.0023259677687323477
sensitive_path_access,0.0175,0.0012460541618209006
