feature,rf_wrong_xgb_right_mean,rf_right_xgb_wrong_mean
lifetime_seconds,1.0,1.4669855090155117
events_per_second,1.5714285714285714,1.9884417093488032
seq_length,1.5714285714285714,3.130434782608696
unique_syscalls,1.1428571428571428,1.1304347826086956
uid_is_root,0.5714285714285714,1.0
uid_changed,0.0,0.0
euid_root,0.5714285714285714,1.0
max_uid_euid_delta,0.0,0.0
auid_euid_mismatch,0.5714285714285714,1.0
failed_call_rate,0.8571428571428571,0.927536231884058
failed_call_count,1.2857142857142858,1.826086956521739
priv_op_count,0.0,0.13043478260869565
exec_count,0.0,1.7971014492753623
file_access_count,0.0,0.0
network_count,0.0,0.0
shell_from_service,0.0,0.0
sensitive_path_access,0.2857142857142857,0.0
