feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
max_uid_euid_delta,12068,3625,295.6092973152138,0.5522758620689655,535.256594789036,534.256594789036
auid_euid_mismatch,12068,3625,0.805270135896586,0.4027586206896552,1.999386467551455,0.999386467551455
shell_from_service,12068,3625,0.002320185614849188,0.8882758620689655,0.002612010203052269,0.9973879897969478
euid_root,12068,3625,0.7045077891945641,0.4322758620689655,1.6297643496045278,0.6297643496045278
seq_length,12068,3625,1.0513755386145178,2.0162758620689654,0.5214442916237005,0.47855570837629946
events_per_second,12068,3625,1.051105879141488,1.9904163872468654,0.5280834130366926,0.4719165869633074
failed_call_count,12068,3625,0.05551872721246271,0.07751724137931035,0.7162113385949371,0.28378866140506287
priv_op_count,12068,3625,0.022538945972820683,0.027862068965517243,0.8089473183314354,0.1910526816685646
unique_syscalls,12068,3625,1.0063805104408352,1.0604137931034483,0.94904509634444,0.05095490365555999
uid_is_root,12068,3625,0.41000994365263504,0.4317241379310345,0.9497035436043464,0.05029645639565361
failed_call_rate,12068,3625,0.05394431554524362,0.056781609195402295,0.950031468104493,0.049968531895506985
exec_count,12068,3625,0.9533476963871396,0.9277241379310345,1.0276198035692479,0.02761980356924787
lifetime_seconds,12068,3625,1.0014468843193294,1.0160816551734662,0.9855968555483483,0.014403144451651695
uid_changed,12068,3625,0.0,0.0,,
file_access_count,12068,3625,0.005303281405369572,0.0,,
network_count,12068,3625,0.0,0.0,,
sensitive_path_access,12068,3625,0.00016572754391779913,0.0,,
