model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
xgb,CAM-LDS,CasinoLimit,0,42,17,0.8691481746599857,0.9950943798656287,0.7613724450246828,0.8626834623829885,0.0044037048560419305,0.9573972290140272,0.8293417092003664,0.7848101265822784,0.003950806091888103,0.007862033984275933,0.00022368715377833919,0.08338376357997522,0.8548214283987126
xgb,CAM-LDS,CasinoLimit,1,43,17,0.8691591872694235,0.9950945106507771,0.7613928440292114,0.8626966058406814,0.0044037048560419305,0.9574354436439001,0.8293308031235004,0.8142857142857143,0.003632192697380998,0.00723212586436592,0.0001710548823010829,0.08246224354136096,0.8554644799763155
xgb,CAM-LDS,CasinoLimit,2,44,17,0.8691371620505479,0.9950942490735063,0.7613520460201543,0.8626703186215026,0.0044037048560419305,0.9574512202475749,0.8321991013392662,0.9528023598820059,0.020582425285158988,0.040294411177644714,0.0002105290859090251,0.07788890815435282,0.8223759074438578
xgb,CAM-LDS,CasinoLimit,3,45,17,0.8690490611750454,0.9950932024853996,0.7611888539839256,0.8625651575917985,0.0044037048560419305,0.9574026930941243,0.8293089909697684,0.7916666666666666,0.003632192697380998,0.007231208372978116,0.00019737101803971106,0.06775607570262304,0.8553339492188204
xgb,CAM-LDS,CasinoLimit,4,46,17,0.8690490611750454,0.9950932024853996,0.7611888539839256,0.8625651575917985,0.0044037048560419305,0.9574247273681564,0.8293635213540985,0.8405797101449275,0.003695915376282419,0.007359472148204543,0.00014473874656245476,0.7050813670207405,0.855205685443594
xgb,CAM-LDS,CasinoLimit,5,47,17,0.8689389350806673,0.9950918936221291,0.7609848639386398,0.8624336789541215,0.0044037048560419305,0.9574216521143564,0.8293526152772325,0.8194444444444444,0.0037596380551838397,0.007484934982556295,0.0001710548823010829,0.07979506134473104,0.8549487439715652
xgb,CAM-LDS,CasinoLimit,6,48,17,0.8689829855184186,0.9950924172512202,0.7610664599567541,0.862486274056522,0.0044037048560419305,0.9574105374567901,0.8301269467347205,0.9090909090909091,0.008283948257184733,0.016418287446324828,0.0001710548823010829,0.08299016521333907,0.8460679866101972
xgb,CAM-LDS,CasinoLimit,7,49,17,0.8691701998788613,0.9950682448283216,0.7614336420382686,0.8627129220884276,0.004427638034607376,0.9574118736958199,0.831741046110893,0.9553264604810997,0.01771490473459504,0.034784784784784785,0.0001710548823010829,0.08275295609686854,0.8279281373036429
xgb,CAM-LDS,CasinoLimit,8,50,17,0.8691041242222345,0.9950938566552902,0.7612908490065685,0.8626308855141807,0.0044037048560419305,0.9574445766448267,0.8293308031235004,0.7894736842105263,0.003823360734085261,0.007609867461475046,0.0002105290859090251,0.08459754650019724,0.8550210180527056
xgb,CAM-LDS,CasinoLimit,9,51,17,0.8691591872694235,0.9950945106507771,0.7613928440292114,0.8626966058406814,0.0044037048560419305,0.9574165644464964,0.8293308031235004,0.8142857142857143,0.003632192697380998,0.00723212586436592,0.0001710548823010829,0.07839233232623932,0.8554644799763155
xgb,CAM-LDS,CasinoLimit,10,52,17,0.8690600737844832,0.9950933333333334,0.7612092529884542,0.8625783037840087,0.0044037048560419305,0.957408253108079,0.8293526152772325,0.8382352941176471,0.003632192697380998,0.007233043588604784,0.00014473874656245476,0.07868975848968864,0.8553452601954039
xgb,CAM-LDS,CasinoLimit,11,53,17,0.8691591872694235,0.9950945106507771,0.7613928440292114,0.8626966058406814,0.0044037048560419305,0.9574249739157303,0.8301487588884526,0.9103448275862069,0.008411393614987574,0.016668771309508775,0.0001710548823010829,0.07792534459081042,0.8460278345311727
xgb,CAM-LDS,CasinoLimit,12,54,17,0.8691481746599857,0.9950943798656287,0.7613724450246828,0.8626834623829885,0.0044037048560419305,0.9574286565065246,0.8293526152772325,0.8382352941176471,0.003632192697380998,0.007233043588604784,0.00014473874656245476,0.07978705565862794,0.8554504187943838
