feature,cnn_wrong_iforest_right_mean,cnn_right_iforest_wrong_mean
lifetime_seconds,1.0074333758900247,126.1730520799756
events_per_second,1.2523396123795139,0.7142818080587318
seq_length,1.2537249893571734,5.138020833333333
unique_syscalls,1.0319284802043422,1.2135416666666667
uid_is_root,0.10217113665389528,0.2708333333333333
uid_changed,0.0,0.0
euid_root,0.3988931460195828,0.2708333333333333
max_uid_euid_delta,297.01617709663685,0.0
auid_euid_mismatch,0.9148573861217539,0.9609375
failed_call_rate,0.004895700297999148,0.18676308532841257
failed_call_count,0.009791400595998296,0.5052083333333334
priv_op_count,0.08301404853128991,0.0
exec_count,0.8126862494678586,0.3229166666666667
file_access_count,0.0004257130693912303,1.9765625
network_count,0.0,0.0
shell_from_service,0.010217113665389528,0.0
sensitive_path_access,0.0008514261387824606,0.020833333333333332
